Empresa, Yhaguy Baterias
,,,,,
NUMERO,DESCRIPCION,DEBE,HABER,SALDO
69 116161 73-FDLM-MIV,CHEQUE DEPN/B69 116161,38500000, ,32944911
69 914420 88-K95FLM-JRU,PAGO CHEQUE No914420,1957500, ,30987411
69 914410 88-FDLM-VJV,PAGO CHEQUE No914410,825000, ,30162411
0 18034249 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,9104000,39266411
0 18034249 93-K95FLM-LFI,DEPOSITO CHQN/BCO-053, ,803576,40069987
69 914423 73-K95FLM-LFI,CHEQUE DEPN/B69 914423,803576, ,39266411
0 18033248 93-K95FLM-LFI,DEPOSITO CHQN/BCO-057, ,132454518,171720929
0 180342408 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,1264545,172985474
0 18034250 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,2000000,174985474
0 18034250 93-K95FLM-LFI,DEPOSITO CHQN/BCO-058, ,825000,175810474
69 914411 73-K95FLM-LFI,CHEQUE DEPN/B69 914411,825000, ,174985474
69 914424 90-CM-ODL,CLEARING RECBCO17,1390000, ,173595474
54 8462895 60-SL-LZO,DB X CUOTA:05053214617001,400000, ,173195474
69 914401 73-PUE-CRN,CHEQUE DEPN/B69 914401,16885000, ,156310474
69 116103 73-PUE-CRN,CHEQUE DEPN/B69 116103,16845000, ,139465474
0 18582189 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,23966500,163431974
0 18582189 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,2900000,166331974
0 18582189 93-K95FLM-LFI,DEPOSITO CHQN/BCO-088, ,5090833,171422807
0 18033249 93-K95FLM-LFI,DEPOSITO CHQN/BCO-095, ,2690833,174113640
0 18835116 93-PIL-YHC,DEPOSITO EFECTIVO-, ,799700,174913340
69 914426 73-CM-NEG,CHEQUE DEPN/B69 914426,3613000, ,171300340
69 914427 73-CM-NEG,CHEQUE DEPN/B69 914427,11226600, ,160073740
69 116162 90-CM-ODL,CLEARING RECBCO03,9065300, ,151008440
69 914383 90-CM-ODL,CLEARING RECBCO17,6320000, ,144688440
69 116154 90-CM-ODL,CLEARING RECBCO39,660000, ,144028440
68 981922 90-CM-ODL,CLEARING RECBCO41,928000, ,143100440
54 8468238 60-SL-LZO,DB X CUOTA:05A12136517003,2030000, ,141070440
0 18582191 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,27289877,168360317
0 18582190 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,2375000,170735317
0 18296818 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,20183500,190918817
0 18296818 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,9954856,200873673
69 914414 73-K95FLM-JRU,CHEQUE DEPN/B69 914414,10000000, ,190873673
69 914422 73-K95FLM-JRU,CHEQUE DEPN/B69 914422,2375000, ,188498673
0 18296818 93-K95FLM-JRU,DEPOSITO CHQN/BCO-027, ,12375000,200873673
69 116133 73-PUE-CRN,CHEQUE DEPN/B69 116133,16822515, ,184051158
0 20316644 93-YUT-SLO,DEPOSITO EFECTIVO-, ,3626880,187678038
69 116146 73-ML-BSL,CHEQUE DEPN/B69 116146,609500, ,187068538
69 116160 90-CM-ODL,CLEARING RECBCO28,3019366, ,184049172
0 4669902 97-CM-AEV,DEBITO X OPERACCAMBIOS,778221, ,183270951
0 2006948 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,193270951
0 2006857 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,203270951
0 2006858 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,213270951
0 2007012 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,223270951
0 2006856 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,233270951
0 2006855 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,243270951
0 1963767 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,253270951
0 2006949 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,10000000,263270951
54 8471231 60-SL-LZO,DB X CUOTA:05053207417018,1074000, ,262196951
0 18296820 93-SL-FJC,DEPOSITO CHQ24HS-, ,2628000,264824951
0 18296820 93-SL-FJC,DEPOSITO CHQN/BCO-051, ,11358585,276183536
0 18296819 93-SL-FJC,DEPOSITO EFECTIVO-, ,39364000,315547536
0 18296819 93-SL-FJC,DEPOSITO CHQ24HS-, ,2703269,318250805
0 18296819 93-SL-FJC,DEPOSITO CHQN/BCO-055, ,30917163,349167968
0 18579288 93-K95FLM-JRU,DEPOSITO CHQN/BCO-090, ,224600337,573768305
0 4684286 97-SL-STO,DEBITO X OPERACCAMBIOS,397543598, ,176224707
56 8476026 00-SL-STO,TRANSFERENCIAS INTERNACIONALES,336000, ,175888707
69 914404 73-PUE-DFI,CHEQUE DEPN/B69 914404,18142500, ,157746207
0 18296821 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,11713000,169459207
0 18296821 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,6299900,175759107
0 18296821 93-K95FLM-JRU,DEPOSITO CHQN/BCO-057, ,2768000,178527107
0 18296822 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,2800000,181327107
0 18296822 93-K95FLM-JRU,DEPOSITO CHQN/BCO-062, ,7533772,188860879
69 914391 73-PUE-DFI,CHEQUE DEPN/B69 914391,23676000, ,165184879
0 0 68-CM-GMR,DEBITO X GIRA,1138, ,165183741
0 0 68-CM-GMR,IMPUESTO X SOBG,114, ,165183627
